"date","no2","ozone","pm25","so2"
"2021-04-23",27.9,0.051,12.9,2.9
"2021-04-24",25.4,0.037,19.1,2.7
"2021-04-25",9.6,0.036,1.9,2
"2021-04-26",28.9,0.054,6.2,3.3
"2021-04-27",18.8,0.056,9,2.9
"2021-04-28",18.1,0.034,8.5,2.2
"2021-04-29",26.5,0.032,12.1,2.7
"2021-04-30",33.6,0.034,6.8,3.6
"2021-05-01",33,0.058,9.7,3.7
"2021-05-02",12.8,0.046,5.4,2.9
"2021-05-03",19.7,0.037,11.7,2.2
"2021-05-04",24.1,0.026,4,2.2
"2021-05-05",27,0.035,3.7,4.8
"2021-05-06",40.7,0.042,19.8,2.5
"2021-05-07",42.4,0.045,5.9,2.4
"2021-05-08",28.5,0.033,3,2.8
"2021-05-09",25.3,0.039,2.9,2.5
"2021-05-10",30,0.036,5.2,2.6
"2021-05-11",32.5,0.034,3,3.3
"2021-05-12",37,0.036,7.5,3.6
"2021-05-13",46.7,0.044,10.7,4.9
"2021-05-14",50.7,0.055,14.9,5.8
"2021-05-15",48.3,0.038,23.1,3.2
"2021-05-16",31.2,0.058,11.8,8.2
"2021-05-17",41.6,0.048,17.9,3
"2021-05-18",21.7,0.046,19.1,2.6
"2021-05-19",19.4,0.036,11,2.2
"2021-05-20",30.1,0.044,15,2.3
"2021-05-21",28.8,0.054,10.5,2.5
"2021-05-22",36.4,0.062,12.1,3
"2021-05-23",12.9,0.037,5.3,2.3
"2021-05-24",24.4,0.066,16.9,3.1
"2021-05-25",24.4,0.048,14.4,3.1
"2021-05-26",21.4,0.049,3.4,2.7
"2021-05-27",8.4,0.035,37.3,2.2
"2021-05-28",9.2,0.038,1.2,2
"2021-05-29",23.8,0.041,6.2,2.2
"2021-05-30",28.2,0.048,27,9.7
"2021-05-31",35.3,0.055,20.2,4.5
"2021-06-01",35.6,0.068,23.7,8.1
"2021-06-02",46.2,0.063,26.9,6.5
"2021-06-03",43.7,0.075,28.1,4.6
"2021-06-04",23.8,0.069,5.1,2.9
"2021-06-05",21.9,0.061,12.1,2.7
"2021-06-06",14.3,0.061,67,3.2
"2021-06-07",18.6,0.022,57.8,2.4
"2021-06-08",36.4,0.063,31,3.6
"2021-06-09",27,0.053,44.2,4.1
"2021-06-10",23.5,0.053,22.6,3.9
"2021-06-11",36.1,0.076,19.8,3.4
"2021-06-12",24,0.068,16.8,11.9
